"Periode aangevraagd:","01-01-1800","tot:","06-10-2025",,,,,,,,,
"Gegevens beschikbaar:","28-08-1973","tot:","28-09-2000",,,,,,,,,
"Datum:","06-10-2025",,,,,,,,,,,
"Referentie:","NAP",,,,,,,,,,,
,,,,,,,,,,,,
"NAP:","Normaal Amsterdams Peil",,,,,,,,,,,
"MV:","Maaiveld",,,,,,,,,,,
"MP:","Meetpunt",,,,,,,,,,,
,,,,,,,,,,,,
"Locatie","Filternummer","Externe aanduiding","X-coordinaat","Y-coordinaat","Maaiveld (cm t.o.v. NAP)","Datum maaiveld gemeten","Startdatum","Einddatum","Meetpunt (cm t.o.v. NAP)","Meetpunt (cm t.o.v. MV)","Bovenkant filter (cm t.o.v. NAP)","Onderkant filter (cm t.o.v. NAP)"
"B31B0190","001","31BL0033","119500","470980","-507","28-08-1973","28-08-1973","14-12-1983","-496","11","-646","-696"
"B31B0190","001","31BL0033","119500","470980","-507","28-08-1973","14-12-1983","06-09-1985","-491","16","-641","-691"
"B31B0190","001","31BL0033","119500","470980","-507","28-08-1973","06-09-1985","28-10-2000","-492","15","-732","-782"
,,,,,,,,,,,,
"Locatie","Filternummer","Peildatum","Stand (cm t.o.v. MP)","Stand (cm t.o.v. MV)","Stand (cm t.o.v NAP)","Bijzonderheid","Opmerking","","","","",""
"B31B0190","001","28-08-1973","107","96","-603","","","","","","",""
"B31B0190","001","15-10-1973","81","70","-577","","","","","","",""
"B31B0190","001","14-12-1973","77","66","-573","","","","","","",""
"B31B0190","001","29-04-1974","83","72","-579","","","","","","",""
"B31B0190","001","28-08-1974","91","80","-587","","","","","","",""
"B31B0190","001","14-10-1974","74","63","-570","","","","","","",""
"B31B0190","001","13-12-1974","74","63","-570","","","","","","",""
"B31B0190","001","28-04-1975","82","71","-578","","","","","","",""
"B31B0190","001","28-08-1975","116","105","-612","","","","","","",""
"B31B0190","001","14-10-1975","84","73","-580","","","","","","",""
"B31B0190","001","15-12-1975","83","72","-579","","","","","","",""
"B31B0190","001","28-04-1976","94","83","-590","","","","","","",""
"B31B0190","001","27-08-1976","133","122","-629","","","","","","",""
"B31B0190","001","14-10-1976","85","74","-581","","","","","","",""
"B31B0190","001","14-12-1976","81","70","-577","","","","","","",""
"B31B0190","001","28-04-1977","85","74","-581","","","","","","",""
"B31B0190","001","29-08-1977","81","70","-577","","","","","","",""
"B31B0190","001","14-10-1977","89","78","-585","","","","","","",""
"B31B0190","001","14-12-1977","86","75","-582","","","","","","",""
"B31B0190","001","28-04-1978","83","72","-579","","","","","","",""
"B31B0190","001","28-08-1978","91","80","-587","","","","","","",""
"B31B0190","001","13-10-1978","112","101","-608","","","","","","",""
"B31B0190","001","14-12-1978","81","70","-577","","","","","","",""
"B31B0190","001","27-04-1979","92","81","-588","","","","","","",""
"B31B0190","001","28-08-1979","133","122","-629","","","","","","",""
"B31B0190","001","15-10-1979","118","107","-614","","","","","","",""
"B31B0190","001","14-12-1979","73","62","-569","","","","","","",""
"B31B0190","001","28-04-1980","88","77","-584","","","","","","",""
"B31B0190","001","28-08-1980","100","89","-596","","","","","","",""
"B31B0190","001","14-10-1980","155","144","-651","","","","","","",""
"B31B0190","001","15-12-1980","80","69","-576","","","","","","",""
"B31B0190","001","28-04-1981","92","81","-588","","","","","","",""
"B31B0190","001","17-06-1981","93","82","-589","","","","","","",""
"B31B0190","001","28-08-1981","94","83","-590","","","","","","",""
"B31B0190","001","14-10-1981","84","73","-580","","","","","","",""
"B31B0190","001","14-12-1981","82","71","-578","","","","","","",""
"B31B0190","001","28-04-1982","86","75","-582","","","","","","",""
"B31B0190","001","27-08-1982","118","107","-614","","","","","","",""
"B31B0190","001","14-10-1982","98","87","-594","","","","","","",""
"B31B0190","001","14-12-1982","81","70","-577","","","","","","",""
