"BRO-ID","bronhouder",,"kwaliteitsregime","datum eerste meting","datum recentste meting"
"GLD000000057428","50200097",,"IMBRO/A","(1985-12-13, JJJJ-MM-DD)","(2000-09-28, JJJJ-MM-DD)"
,,,,,
"put BRO-ID","put buisnummer",,"monitoringnet BRO-ID",,
"GMW000000054694","1",,,,
,,,,,
"observatie ID","start observatieperiode","eind observatieperiode","observatietype","mate beoordeling","observatieproces ID"
"OBS_DINO_RO_Alle","(1985-12-13, JJJJ-MM-DD)","(2000-09-28, JJJJ-MM-DD)","reguliereMeting","onbekend","OPR_RO_Alle"
,,,,,
"tijdstip meting","waterstand","status kwaliteitscontrole","censuurreden","censuurlimietwaarde","interpolatietype"
"1985-12-13T12:00:00+01:00","-5.950","onbekend",,,"discontinu"
"1986-03-21T12:00:00+01:00","-5.940","onbekend",,,"discontinu"
"1986-04-28T12:00:00+02:00","-5.940","onbekend",,,"discontinu"
"1986-08-28T12:00:00+02:00","-6.870","onbekend",,,"discontinu"
"1986-10-14T12:00:00+01:00","-7.280","onbekend",,,"discontinu"
"1986-12-15T12:00:00+01:00","-5.930","onbekend",,,"discontinu"
"1987-04-28T12:00:00+02:00","-5.900","onbekend",,,"discontinu"
"1987-08-28T12:00:00+02:00","-6.130","onbekend",,,"discontinu"
"1987-10-14T12:00:00+01:00","-6.010","onbekend",,,"discontinu"
"1987-12-14T12:00:00+01:00","-5.990","onbekend",,,"discontinu"
"1988-04-28T12:00:00+02:00","-5.900","onbekend",,,"discontinu"
"1988-08-29T12:00:00+02:00","-6.330","onbekend",,,"discontinu"
"1988-10-14T12:00:00+01:00","-5.980","onbekend",,,"discontinu"
"1988-12-14T12:00:00+01:00","-5.910","onbekend",,,"discontinu"
"1989-04-28T12:00:00+02:00","-5.910","onbekend",,,"discontinu"
"1989-08-28T12:00:00+02:00","-6.450","onbekend",,,"discontinu"
"1989-10-13T12:00:00+01:00","-6.130","onbekend",,,"discontinu"
"1989-12-14T12:00:00+01:00","-5.990","onbekend",,,"discontinu"
"1990-04-27T12:00:00+02:00","-6.060","onbekend",,,"discontinu"
"1990-08-28T12:00:00+02:00","-6.130","onbekend",,,"discontinu"
"1990-10-15T12:00:00+01:00","-5.990","onbekend",,,"discontinu"
"1990-12-14T12:00:00+01:00","-6.090","onbekend",,,"discontinu"
"1991-04-29T12:00:00+02:00","-6.010","onbekend",,,"discontinu"
"1991-08-28T12:00:00+02:00","-6.470","onbekend",,,"discontinu"
"1991-10-14T12:00:00+01:00","-6.030","onbekend",,,"discontinu"
"1991-12-13T12:00:00+01:00","-5.980","onbekend",,,"discontinu"
"1992-04-28T12:00:00+02:00","-5.940","onbekend",,,"discontinu"
"1992-08-28T12:00:00+02:00","-5.890","onbekend",,,"discontinu"
"1992-10-14T12:00:00+01:00","-6.020","onbekend",,,"discontinu"
"1992-12-14T12:00:00+01:00","-5.900","onbekend",,,"discontinu"
"1993-04-28T12:00:00+02:00","-5.980","onbekend",,,"discontinu"
"1993-08-27T12:00:00+02:00","-6.160","onbekend",,,"discontinu"
"1993-10-14T12:00:00+01:00","-5.980","onbekend",,,"discontinu"
"1993-12-14T12:00:00+01:00","-5.900","onbekend",,,"discontinu"
"1994-04-28T12:00:00+02:00","-5.960","onbekend",,,"discontinu"
"1994-08-29T12:00:00+02:00","-6.080","onbekend",,,"discontinu"
"1994-10-14T12:00:00+01:00","-6.030","onbekend",,,"discontinu"
"1994-12-14T12:00:00+01:00","-6.010","onbekend",,,"discontinu"
"1994-12-28T12:00:00+01:00","-5.900","onbekend",,,"discontinu"
"1995-01-27T12:00:00+01:00","-5.910","onbekend",,,"discontinu"
"1995-02-28T12:00:00+01:00","-5.840","onbekend",,,"discontinu"
"1995-03-28T12:00:00+02:00","-5.910","onbekend",,,"discontinu"
"1995-04-28T12:00:00+02:00","-5.980","onbekend",,,"discontinu"
"1995-05-29T12:00:00+02:00","-6.000","onbekend",,,"discontinu"
"1995-06-28T12:00:00+02:00","-5.940","onbekend",,,"discontinu"
"1995-07-28T12:00:00+02:00","-5.860","onbekend",,,"discontinu"
"1995-08-28T12:00:00+02:00","-6.000","onbekend",,,"discontinu"
"1995-09-28T12:00:00+01:00","-5.900","onbekend",,,"discontinu"
"1995-10-27T12:00:00+01:00","-5.910","onbekend",,,"discontinu"
"1995-11-28T12:00:00+01:00","-5.910","onbekend",,,"discontinu"
"1995-12-28T12:00:00+01:00","-5.890","onbekend",,,"discontinu"
